OK,Court ID,Court Name,Fixed Court Name,Court Name Abbreviation,Fixed Court Name Abbreviation,Count,Jurisdiction,Fixed Jurisdiction,First Date,Last Date,Example Case ID,Example Case
,19178,United States District Court for the Western District of Washington,,Bankr. W.D. Wash.,,1,U.S.,,1993-06-28,1993-06-28,6515338,View example
,9005,United States District Court for the Western District of Wisconsin,,W.D. Wis.,,1794,U.S.,,1854-11,2017-10-06,1096,View example
,20974,United States District Court for the Western District of Wisconsin,,Bank. W.D. Wis.,,1,U.S.,,2015-04-23,2015-04-23,4115684,View example
,9347,United States District Court of the Eastern District of Missouri,,C.C.E.D. Mo.,,3,U.S.,,1909-05-22,1911-07-18,37302,View example
,16378,"United States District Court, D. Connecticut",,D. Conn.,,1,U.S.,,1975-04-10,1975-04-10,3799890,View example
,16336,"United States District Court, D. Delaware",,D. Del.,,2,U.S.,,1975-04-28,1975-04-29,3797549,View example
,16365,"United States District Court, D. Massachusetts",,D. Mass.,,1,U.S.,,1975-02-04,1975-02-04,3796421,View example
,16422,"United States District Court, D. Minnesota",,D. Minn.,,1,U.S.,,1974-10-18,1974-10-18,3797933,View example
,16435,"United States District Court, D. New Hampshire",,D.N.H.,,1,U.S.,,1975-03-25,1975-03-25,3799938,View example
,16396,"United States District Court, D. New Jersey",,D.N.J.,,1,U.S.,,1975-01-17,1975-01-17,3796901,View example
,16359,"United States District Court, District of Columbia",,D.D.C.,,3,U.S.,,1975-04-29,1983-06-10,3593216,View example
,16415,"United States District Court, E. D. Arkansas",,E.D. Ark.,,1,U.S.,,1975-05-23,1975-05-23,3798543,View example
,16410,"United States District Court, E. D. Louisiana",,E.D. La.,,1,U.S.,,1975-04-21,1975-04-21,3797825,View example
,16440,"United States District Court, E. D. North Carolina",,E.D.N.C.,,1,U.S.,,1975-05-01,1975-05-01,3799828,View example
,16341,"United States District Court, E. D. Pennsylvania",,E.D. Pa.,,6,U.S.,,1975-02-21,1975-05-16,3796453,View example
,16390,"United States District Court, E. D. Texas",,E.D. Tex.,,1,U.S.,,1975-04-22,1975-04-22,3796536,View example
,16387,"United States District Court, E. D. Wisconsin",,E.D. Wis.,,1,U.S.,,1975-05-30,1975-05-30,3796684,View example
,16402,"United States District Court, N. D. Illinois, E. D.",,N.D. Ill.,,1,U.S.,,1975-05-12,1975-05-12,3798461,View example
,16405,"United States District Court, N. D. Texas",,N.D. Tex.,,1,U.S.,,1975-05-07,1975-05-07,3797857,View example
,20675,"United States District Court, N.D. Indiana, South Bend Division",,N.D. Ind.,,1,U.S.,,1983-08-23,1983-08-23,3591827,View example
,21424,"United States District Court, N.D. New York",,E.D.N.Y.,,1,U.S.,,1995-07-31,1995-07-31,7849674,View example
,17960,"United States District Court, Northern District of Ohio",,N.D. Ohio,,2,U.S.,,1968-12-30,1969-08-21,1439222,View example
,16351,"United States District Court, S. D. New York",,S.D.N.Y.,,2,U.S.,,1975-03-28,1975-05-09,3796193,View example
,17957,"United States District Court, Southern District of Ohio",,S.D. Ohio,,2,U.S.,,1968-10-21,1969-04-07,1439215,View example
,16345,"United States District Court, W. D. Missouri, W. D.",,W.D. Mo.,,5,U.S.,,1973-10-19,1975-04-30,3797144,View example
,16383,"United States District Court, W. D. New York",,W.D.N.Y.,,2,U.S.,,1974-09-11,1975-05-07,3796303,View example
,16433,"United States District Court, W. D. Oklahoma, Civil Division",,W.D. Okla.,,1,U.S.,,1974-10-24,1974-10-24,3799358,View example
,16369,"United States District Court, W. D. Pennsylvania",,W.D. Pa.,,2,U.S.,,1975-04-08,1975-05-29,3796715,View example
,9410,United States Emergency Court of Appeals,,Emer. Ct. App.,,340,U.S.,,1942-09-30,1977-08-18,46523,View example
,17247,United States Foreign Intelligence Surveillance Court,,U.S. Foreign Intelligence Surveillance Ct.,,3,U.S.,,2002-05-17,2008-08-22,5643492,View example
,23021,United States Foreign Intelligence Surveillance Court of Review,,FISA Ct. Rev.,,1,U.S.,,2016-04-14,2016-04-14,12276475,View example
,22881,United States Foreign Intelligence Surveillance Court of Review,,U.S. Foreign Intelligence Surveillance Ct. Review,,1,U.S.,,2002-11-18,2002-11-18,11429099,View example
,15799,United States Judicial Conference Committee on Judicial Conduct and Disability,,U.S. Judicial Conference Committee on Judicial Conduct & Disability,,3,U.S.,,2008-01-14,2014-01-17,3674333,View example
,13783,United States Judicial Conference Committee to Review Circuit Council Conduct and Disability Orders,,U.S. Judicial Conference Committee to Review Circuit Council Conduct & Disability Orders,,3,U.S.,,1994-09-29,2006-04-28,1848656,View example
,22697,United States Judicial Conference Committee to Review Circuit Council Conduct and Disability Orders,,U. S. Judicial Conference Committee to Review Circuit Council Conduct & Disability Orders,,1,U.S.,,1993-11-02,1993-11-02,10517794,View example
,20699,United States Judicial Conference of Committee on Judicial Conduct and Disability,,U. S. Judicial Conference of Committee on Judicial Conduct & Disability,,2,U.S.,,2008-01-14,2008-01-14,5869770,View example
,9818,United States Judicial Panel on Multidistrict Litigation,,J.P.M.L.,,1532,U.S.,,1968-09-13,2017-12-06,62034,View example
,9314,United States Judicial Panel on Multidistrict Litigation,,J.P.M.L,,202,U.S.,,1968-09-17,2007-08-17,31388,View example
,22938,United States Land Office,,U.S. Land Office,,1,U.S.,,1881-11-01,1881-11-01,12125563,View example
,20667,United States Navy Court of Military Review,,N.C.M.R.,,56,U.S.,,1978-11-22,1981-04-17,3580016,View example
,9023,United States Navy-Marine Corps Court of Criminal Appeals,,N-M. Ct. Crim. App.,,383,U.S.,,1994-10-20,2017-06-28,80922,View example
,9821,United States Navy-Marine Corps Court of Criminal Appeals,,N-M. Ct. Crim. App,,132,U.S.,,1996-10-15,2009-06-17,33823,View example
,20684,United States Navy-Marine Corps Court of Criminal Review,,N.M.C.M.R.,,73,U.S.,,1979-08-10,1981-03-27,3615376,View example
,16926,United States Navy-Marine Corps Court of Military Review,,N.M.C.M.R.,,1081,U.S.,,1975-04-30,1994-09-14,3521347,View example
,20155,United States Provisional Court for the State of Louisiana,,U.S. Provisional Ct. La.,,1,U.S.,,1866,1866,6610553,View example
,10129,United States Southern District of West Virginia,,S.D.W. Va.,,1,U.S.,,1949-03-08,1949-03-08,671562,View example
,15758,"United States Special Court, Regional Rail Reorganization Act",,Reg'l Rail Reorg. Ct.,,77,U.S.,,1974-05-24,1995-04-04,136053,View example
,14005,United States Supreme Court,,U.S. Sup. Ct.,,15,N.Y.,,1857-05,1892-04,1884917,View example
,13828,United States Supreme Court,,U.S.,,9,N.Y.,,1866,1871-11,1883351,View example
,11712,United States Supreme Court,,Sup. Ct.,,7,U.S.,,2003-12-01,2004-01-20,1225228,View example
,21719,United States Supreme Court of the District of Columbia,,U.S.D.C.,,4,U.S.,,1924-06-30,1936-03-18,661387,View example
,22941,United States Surveyor,,U.S. Surveyor,,1,U.S.,,1883-08-02,1883-08-02,12129153,View example
,15103,United States Tax Court,,T.C.,,11849,U.S.,,1942-11-12,2015-06-30,1080410,View example
x,17456,United States Tax Court,15103,,,1,U.S.,,1957-12-31,1957-12-31,6069232,View example
,9327,United States Temporary Emergency Court of Appeals,,Temp. Emer. Ct. App.,,341,U.S.,,1947-09-26,1993-04-29,1421,View example
,21437,Upper Sandusky Municipal Court,,Upper Sandusky Mun. Ct.,,2,Ohio,,2012-04-04,2012-04-11,6686452,View example
,22069,US Circuit of Northern District of NY,,C.C.N.D.N.Y.,,1,N.Y.,,1880,1880,622873,View example
,16454,Utah Court of Appeals,,Utah Ct. App.,,2541,Utah,,1987-04-08,2017-12-14,6773428,View example
,9294,Utah Supreme Court,,Utah,,1810,Utah,,1880-06,2017-12-12,43740,View example
,9446,Utica City Court,,Utica City Ct.,,40,N.Y.,,1943-08-27,2000-05-09,32557,View example
,11273,Utica City Court,,Utica Cty. Ct.,,2,N.Y.,,1949-07-11,1967-11-13,947966,View example
,21671,uUnited States District Court for the Northern District of California,,N.D. Cal.,,1,U.S.,,1986-05-07,1986-05-07,7856962,View example
,11322,Valley Stream Justice Court,,Valley Stream J. Ct.,,4,N.Y.,,1992-01-29,2014-08-22,902942,View example
,20812,Van Buren County Circuit Court,,Van Buren Cty. Cir. Ct.,,14,Mich.,,1869-08,1871-09,3868327,View example
,13092,Van Wert Circuit Court,,Van Wert Cir. Ct.,,7,Ohio,,1888-03,1904-11,1618224,View example
,21836,Van Wert County Circuit Court,,Van Wert Cty. Cir. Ct.,,1,Ohio,,1910,1910,392849,View example
,10924,Van Wert County Court of Common Pleas,,Van Wert Cty. C.P.,,29,Ohio,,1903-06,1984-07-19,888096,View example
,11006,Van Wert County Court of Common Pleas,,Ohio C.P.,,1,Ohio,,1907-12,1907-12,889504,View example
,18837,Van Wert County Municipal Court,,Van Wert Cty. Mun. Ct.,,1,Ohio,,1959-01-21,1959-01-21,1800553,View example
