OK,Court ID,Court Name,Fixed Court Name,Court Name Abbreviation,Fixed Court Name Abbreviation,Count,Jurisdiction,Fixed Jurisdiction,First Date,Last Date,Example Case ID,Example Case
x,15658,Accomack County Circuit Court,,Accomack Cty. Cir. Ct.,,23,Va.,,1981-12-04,2012-04-24,3782639,View example
x,13190,Adams Circuit Court,,Adams Cir. Ct.,,1,Ohio,,1886-11,1886-11,1616627,View example
x,17340,Adams County Circuit Court,,Adams Cty. Cir. Ct.,,1,Ohio,,1900-04,1900-04,1515775,View example
x,9311,Adams County Court of Common Pleas,,Adams Cty. C.P.,,478,Pa.,,1891-10-05,2014-08-25,29914,View example
x,16855,Adams County Court of Common Pleas,,Adams Cty. Ct. C.P.,Adams Cty. C.P.,3,Pa.,,1885-12-14,1968-10-21,1036272,View example
x,13144,Adams County Court of Oyer and Terminer,,Adams Cty. Ct. Oyer & Terminer,,2,Pa.,,1958-05-20,1961-07-08,1633828,View example
x,12260,Adams County Court of Quarter Sessions,,Adams Cty. Ct. Quarter Sess.,,28,Pa.,,1937-12-27,1968-11-21,1531144,View example
x,16543,Adams County of Common Pleas,,Adams Cty. C.P.,,2,Pa.,,1983-03-18,1983-04-27,1937636,View example
x,9701,Adams County Orphans' Court,,Adams Cty. Orphans' Ct.,,12,Pa.,,1933-10-16,1967-08-03,351166,View example
x,13297,Adams County Orphans' Court,,Adams Cty. Orphans' Court,Adams Cty. Orphans' Ct.,1,Pa.,,1961-10-11,1961-10-11,1659402,View example
x,11867,Adams County Orphans' Court,,Adams Orphans' Ct.,Adams Cty. Orphans' Ct.,1,Pa.,,1987-01-29,1987-01-29,1273060,View example
x,15673,Agusta County Circuit Court,,Agusta Cty. Cir. Ct.,,1,Va.,,1997-07-18,1997-07-18,3904535,View example
x,11989,Akron Municipal Court,,Akron Mun. Ct.,,69,Ohio,,1923-07-31,2000-04-04,1432914,View example
x,12012,Akron Municipal Court,,Ohio Mun. Ct.,Akron Mun. Ct.,9,Ohio,,1973-09-26,1980-07-29,1443599,View example
x,21510,Akron Municipal Court,,Mun. Ct.,Akron Mun. Ct.,1,Ohio,,1984-06-04,1984-06-04,6707285,View example
x,21525,Akron Municipal Court.,,Akron Mun. Ct.,Akron Mun. Ct.,1,Ohio,,1981-06-15,1981-06-15,6706739,View example
x,11048,Alabama Court of Appeals,,Ala. Ct. App.,,22027,Ala.,,1911,2003-12-12,917124,View example
x,12070,Alabama Court of Civil Appeals,,Ala. Civ. App.,,16781,Ala.,,1969-11-24,2017-03-31,427940,View example
x,22355,Alabama Court of Civil Appeals,,Ala. Civ. App,Ala. Civ. App.,33,Ala.,,1994-03-18,1995-02-10,7452208,View example
x,22918,Alabama Court of Criminal Appeal,Alabama Court of Criminal Appeals,Ala. Crim. App.,Ala. Crim. App.,1,Ala.,,1990-02-23,1990-02-23,11975433,View example
x,12083,Alabama Court of Criminal Appeals,,Ala. Crim. App.,,18035,Ala.,,1969-08-19,2017-04-28,427941,View example
x,10895,Alabama Supreme Court,,Ala.,,72227,Ala.,,1820,2017-06-22,902201,View example
x,11683,Alachua County Circuit Court,,Alachua Cty. Cir. Ct.,,2,Fla.,,1975-06-03,1981-07-24,1211094,View example
x,16680,Alachua County Court,,Alachua Cty. Ct.,,1,Fla.,,1982-08-02,1982-08-02,2008020,View example
x,16436,Alaska Court of Appeals,,Alaska Ct. App.,,1058,Alaska,,1981-01-22,2017-12-15,6783592,View example
x,22694,Alaska Court of Appeals,,Alaska,Alaska Ct. App.,3,Alaska,,1996-02-09,1996-02-16,10323947,View example
x,11860,Alaska District Court,,Alaska Dist. Ct.,,480,Alaska,,1887-10-31,1958-12-31,1260696,View example
x,16442,Alaska Supreme Court,,Alaska,,3037,Alaska,,1959-12-22,2018-01-19,6774459,View example
x,22328,Alaska Supreme Court Alaska,Alaska Supreme Court,Alaska,,9,Alaska,,1969-04-07,1969-05-05,7409752,View example
x,9264,Albany City Court,,Albany City Ct.,,97,N.Y.,,1814,2016-07-06,175706,View example
x,10645,Albany City Court,,Albany Ct. Ct.,Albany City Ct.,1,N.Y.,,1987-09-25,1987-09-25,865202,View example
x,11898,Albany City Court,,Albany Cty. Ct.,Albany City Ct.,1,N.Y.,,1974-12-30,1974-12-30,1283698,View example
x,11642,Albany City Police Court,,Albany City Police Ct.,,2,N.Y.,,1914-04-07,1967-02-13,1181598,View example
x,9278,Albany County Court,,Albany Cty. Ct.,,6,N.Y.,,1897-01,1924-03,763594,View example
x,21914,Albany Court of Sessions,,Albany Ct. Sess.,,1,N.Y.,,1895-06,1895-06,342762,View example
x,14155,Albany Oyer & Terminer,Albany Oyer and Terminer,Albany Oyer & Terminer,,1,N.Y.,,1888-01,1888-01,1958410,View example
x,10072,Albany Oyer and Terminer,,Albany Oyer & Terminer,,7,N.Y.,,1868-11,1881-10,624532,View example
x,19971,Albany Police Court,,Albany Police Ct.,,1,N.Y.,,1966-08-22,1966-08-22,1174163,View example
x,14868,Albany Recorder's Court,,Albany Rec's Ct.,,1,N.Y.,,1881-05,1881-05,4539283,View example
x,21854,Albany Special Sessions,,Albany Spec. Sess.,,1,N.Y.,,1895-08,1895-08,342732,View example
x,10058,Albany Surrogate's Court,,Albany Sur. Ct.,,1,N.Y.,,1884-07,1884-07,630241,View example
x,14449,Albemarle County Circuit Court,,Albemarle Cty. Cir. Ct.,,78,Va.,,1959,2014-11-25,3781035,View example
x,15816,Albermarle County Circuit Court,Albemarle County Circuit Court,Albermarle Cty. Cir. Ct.,Albemarle Cty. Cir. Ct.,3,Va.,,1990-08-17,2001-07-20,3924388,View example
x,14447,Alexandria Circuit Court,,Alexandria Cir. Ct.,,310,Va.,,1977-12-19,2012-11-19,3782131,View example
x,20820,Allegan County Circuit Court,,Allegan Cty. Cir. Ct.,,14,Mich.,,1869-08,1871-08,3867599,View example
x,19889,Allegany County Court,,Allegany Cty. Ct.,,1,N.Y.,,1975-08-12,1975-08-12,1294619,View example
x,14462,Alleghany County Circuit Court,,Alleghany Cty. Cir. Ct.,,22,Va.,,1975-07-28,2011-11-21,3782516,View example
x,14466,Alleghany County Court of Common Pleas,,Alleghany Cty. C.P.,,2,Pa.,,2012-11-26,2013-02-07,3848731,View example
x,15806,Alleghany County District Court,,Alleghany Cty. Dist. Ct.,,2,Pa.,,1843,1843-11,897332,View example
x,16749,Allegheny County Commonwealth Court,,Allegheny Cty. Commw. Ct.,,4,Pa.,,1941-08-25,1951-02-08,1547855,View example
x,9648,Allegheny County Court,,Allegheny Cty. Ct.,,109,Pa.,,1791-09,1967-10-30,351190,View example
x,17217,Allegheny County Court,,Allegheny Cty. C.,Allegheny Cty. Ct.,5,Pa.,,1960-07-07,1960-12-29,1656041,View example
x,16831,Allegheny County Court,,Allegheny Cty. C.P.,Allegheny Cty. Ct.,1,Pa.,,1949-04-14,1949-04-14,1583814,View example
x,12955,Allegheny County Court Common Pleas,Allegheny County Court of Common Pleas,Allegheny Cty. C.P.,,3,Pa.,,1947-11-13,1948-06-30,1577128,View example
x,8851,Allegheny County Court of Common Pleas,,Allegheny Cty. C.P.,,1600,Pa.,,1875-01-29,2015-02-17,29904,View example
x,16757,Allegheny County Court of Common Pleas,,Allegheny Cty. Ct. C.P.,Allegheny Cty. C.P.,10,Pa.,,1885-02-24,2015-05-28,1036122,View example
x,22916,Allegheny County Court of Common Pleas,,Allegheny County Cty. C.P.,Allegheny Cty. C.P.,2,Pa.,,2014-11-18,2015-03-02,12121263,View example
x,20982,Allegheny County Court of Common Pleas,,Allegheny Cty. c.p.,Allegheny Cty. C.P.,1,Pa.,,2013-09-09,2013-09-09,4127218,View example
x,16861,Allegheny County Court of Common Pleas,,Allegheny Cty. Ct. Oyer & Terminer,Allegheny Cty. C.P.,1,Pa.,,1951-09-04,1951-09-04,1594571,View example
x,13352,Allegheny County Court of Oyer and Terminer,,Allegheny Cty. Ct. Oyer & Terminer,,7,Pa.,,1891-05-27,1966-01-04,825864,View example
x,15039,Allegheny County Court of Oyer and Terminer,,Allegheny Cty. Ct. of Oyer & Terminer,Allegheny Cty. Ct. Oyer & Terminer,1,Pa.,,1892-01-04,1892-01-04,827927,View example
x,12065,Allegheny County Court of Quarter Sessions,,Allegheny Cty. Ct. Quarter Sess.,,40,Pa.,,1881,1966-09-10,1474597,View example
x,15049,Allegheny County Court of Quarter Sessions,,Allegheny Cty. Ct. of Quarter Sess.,Allegheny Cty. Ct. Quarter Sess.,3,Pa.,,1892-01-04,1963-08-22,827894,View example
x,21534,Allegheny County Court of Quarter Sessions,,Allegheny Cty. Ct. Quarter Sessions,Allegheny Cty. Ct. Quarter Sess.,1,Pa.,,1938-11-28,1938-11-28,6757931,View example
x,16881,Allegheny County Court of Quarter Sessions,,Allegheny Cty. Ct. Quater Sess.,Allegheny Cty. Ct. Quarter Sess.,1,Pa.,,1929-06-05,1929-06-05,1493085,View example
x,12111,Allegheny County Criminal Court,,Allegheny Cty. Crim. Ct.,,16,Pa.,,1926,1967-06-30,1508741,View example
x,22398,Allegheny County of Common Pleas,Allegheny County Court of Common Pleas,Allegheny Cty. C.P.,,3,Pa.,,2000-01-21,2000-06-01,8744041,View example
x,17017,Allegheny County of Orphans' Court,Allegheny County Orphans' Court,Allegheny Cty. Orphans' Ct.,,1,Pa.,,1936-12-16,1936-12-16,1527873,View example
x,9655,Allegheny County Orphans' Court,,Allegheny Cty. Orphans' Ct.,,127,Pa.,,1892-01-04,1989-03-29,351064,View example
x,16795,Allegheny County Orphans' Court,,Allegheny County Orphans' Ct.,Allegheny County Orphans' Ct.,5,Pa.,,1953-06-29,1953-11-04,1603514,View example
x,13268,Allegheny County Orphans' Court,,Allegheny Cty. Orphans' Court,Allegheny County Orphans' Ct.,4,Pa.,,1938-11-07,1961-10-31,1551086,View example
x,16878,Allegheny County Orphans' Court,,Allegheney Cty. Orphans' Ct.,Allegheny County Orphans' Ct.,1,Pa.,,1929-05-15,1929-05-15,1493001,View example
x,19490,Allegheny County Orphans' Court,,Allegheny Cty. C.P.,Allegheny County Orphans' Ct.,1,Pa.,,1989-09-14,1989-09-14,1249056,View example
?,16737,Allegheny County Orphans' Court,,Dauphin Cty. Orphans' Ct.,,1,Pa.,,1951-08-06,1951-08-06,1596260,View example
?,13104,Allen Circuit Court,,Allen Cir. Ct.,,28,Ohio,,1885-12,1926-03-23,1616476,View example
?,9439,Allen County Circuit Court,,Allen Cty. Cir. Ct.,,12,Ohio,,1892-05,1906-12-22,417560,View example
x,21270,Allen County Court,,Allen Cty. Ct.,,2,Ohio,,1964-11-04,1965-03-22,6699855,View example
x,10947,Allen County Court of Common Pleas,,Allen Cty. C.P.,,26,Ohio,,1897-10,2010-02-17,888097,View example
x,17179,Allen County Court of Common Pleas,,Allen County C.P.,Allen Cty. C.P.,6,Ohio,,1903-11-05,1968-08-30,1535627,View example
x,12318,Allen County Court of Common Pleas,,Ohio C.P.,Allen Cty. C.P.,3,Ohio,,1903,1970-11-25,1441225,View example
?,12262,Allen County Court of Common Pleas,,Athens Cty. C.P.,,1,Ohio,,1895-04,1895-04,1522128,View example
x,13493,Allen County Juvenile Court,,Allen Cty. Juv. Ct.,,1,Ohio,,1956-08-22,1956-08-22,1787501,View example
x,13479,Allen County Probate Court,,Allen Cty. Prob. Ct.,,4,Ohio,,1951,1953-12-17,1766703,View example
x,20813,Alpena County Circuit Court,,Alpena Cty. Cir. Ct.,,8,Mich.,,1869-10,1871,3870497,View example
x,20829,Amelia County Circuit Court,,Amelia Cty. Cir. Ct.,,1,Va.,,1991-01-16,1991-01-16,3853755,View example
x,10010,American Samoa District Court,,Am. Samoa Dist. Ct.,,5,Am. Samoa,,1902,2005-02-24,205590,View example
x,15762,Amherst County Circuit Court,,Amherst Cty. Cir. Ct.,,102,Va.,,1972-12-14,2016-06-16,3780612,View example
x,17508,Amherst Justice Court,,Amherst J. Ct.,,1,N.Y.,,1993-11-23,1993-11-23,918347,View example
x,10619,Amherst Town Court,,Amherst Town Ct.,,10,N.Y.,,1970-07-29,1986-04-09,831751,View example
x,9744,Amsterdam City Court,,Amsterdam City Ct.,,2,N.Y.,,2003-04-15,2010-06-14,338355,View example
x,11707,Amsterdam Police Court,,Amsterdam Police Ct.,,1,N.Y.,,1972-11-28,1972-11-28,1255641,View example
?,13043,Anderson's Unreported Ohio Appellate Cases,,Ohio App. Unrep.,,146,Ohio,,1990-01-02,1990-02-28,1608760,View example
x,14696,Apellate Department of the Superior Court of the State of California,9003,Cal. App. Dep't Super. Ct.,,1,Cal.,,1962-12-24,1962-12-24,2306439,View example
x,14717,Apellate Division of the Superior Court of the State of California,9003,Cal. App. Dep't Super. Ct.,,4,Cal.,,1946-01-02,1951-04-02,2289581,View example
x,15101,Appellate Division of the Superior Court of the State of California,9003,Cal. App. Dep't Super. Ct.,,4,Cal.,,1938-06-07,1963-03-28,2117557,View example
x,9847,Appellate Court of Indiana,,Ind. App.,,16125,Ind.,,1885-06-14,1972-01-20,430092,View example
?,14488,Appellate Court of Superior Court of the State of California,,Cal. App. Dep't Super. Ct.,,4,Cal.,,1983-04-01,1983-04-26,6035223,View example
x,22262,Appellate Court of the Hopi Tribe,,Hopi Tribe Ct. App.,,113,Tribal,,1997-03-28,2012-06-19,7338118,View example
x,15075,Appellate Department of the Superior Court of California,9003,Cal. App. Dep't Super. Ct.,,2,Cal.,,1997-08-21,1998-01-26,6034838,View example
x,15964,Appellate Department of the Superior Court of the California,9003,Cal. App. Dep't Super. Ct.,,4,Cal.,,1984-05-24,1984-06-14,6035258,View example
x,12565,Appellate Department of the Superior Court of the Claifornia,9003,Cal. App. Dep't Super. Ct.,,1,Cal.,,1979-08-16,1979-08-16,6035015,View example
x,9739,Appellate Department of the Superior Court of the State of California,9003,Cal. App. Dep't Super. Ct.,,384,Cal.,,1930-01-15,2002-10-10,63621,View example
x,14967,Appellate Department of the Superior Court of the State of California,9003,Cal. App. Dep't. Super. Ct.,,4,Cal.,,1980-06-24,1980-07-31,6044025,View example
x,21774,Appellate Department of the Superior Court of the State of California,9003,Cal. App. Dep't Super Ct.,,3,Cal.,,1994-07-19,1994-08-31,6034806,View example
x,15707,Appellate Department of the Superior Court of the State of California,9003,Cal. App. Dept Super. Ct.,,2,Cal.,,1958-10-01,1958-10-29,4400717,View example
x,14786,Appellate Department of the Superior Court of the State of California,9003,Cal. App. Dept. Super. Ct.,,1,Cal.,,1958-12-31,1958-12-31,2347052,View example
x,14309,Appellate Department of the Superior Court of the State of the California,9003,Cal. App. Dep't Super. Ct.,,1,Cal.,,1979-04-11,1979-04-11,6035102,View example
x,14446,Appellate Departments of the Superior Court,9003,Cal. App. Dep't Super. Ct.,,2,Cal.,,1982-06-04,1982-06-23,6035187,View example
x,19722,Appellate Division of Superior Court of State of California,9003,Cal. App. Dep't Super. Ct.,,3,Cal.,,2011-02-07,2011-02-18,6053560,View example
x,16030,Appellate Division of Superior Court of the State of California,9003,Cal. App. Dep't Super. Ct.,,5,Cal.,,1978-08-08,2013-07-05,6035089,View example
x,12941,Appellate Division of Superior Court of the State of California,9003,Cal. App. Dep't Super Ct.,,1,Cal.,,1994-07-07,1994-07-07,6042169,View example
x,14520,Appellate Division of the Superior Court,9003,Cal. App. Dep't Super. Ct.,,3,Cal.,,1965-07-15,2014-06-09,6035274,View example
x,19019,Appellate Division of the Superior Court of the Sate of California,9003,Cal. App. Dep't Super. Ct.,,1,Cal.,,2007-01-03,2007-01-03,6047639,View example
x,16003,Appellate Division of the Superior Court of the State California,9003,Cal. App. Dep't Super. Ct.,,2,Cal.,,1993-09-01,1993-10-14,6041639,View example
x,9003,Appellate Division of the Superior Court of the State of California,,Cal. App. Dep't Super. Ct.,,839,Cal.,,1929-10-19,2016-06-14,452984,View example
x,16333,Appellate Division of the Superior Court of the State of California,9003,Cal. App. Dep't. Super. Ct.,,11,Cal.,,1955-06-15,2013-03-21,2190874,View example
x,14660,Appellate Division of the Superior Court of the State of California,9003,Cal. App. Dep't Super Ct.,,3,Cal.,,1934-11-07,2014-09-09,6035480,View example
x,14743,Appellate Division of the Superior Court of the State of California,9003,Cal App. Dep't Super. Ct.,,2,Cal.,,1993-02-03,1993-02-18,6035566,View example
x,15977,Appellate Division of the Superior Court of the State of the California,9003,App. Dep't Super. Ct.,,2,Cal.,,1970-10-30,1970-11-17,6037736,View example
x,21268,"Appellate Division, Superior Court, Los Angeles County",9003,Cal. App. Dep't Super. Ct.,,1,Cal.,,2015-05-01,2015-05-01,6055374,View example
x,21191,"Appellate Division, Superior Court, San Diego County",9003,Cal. App. Dep't Super. Ct.,,1,Cal.,,2015-06-05,2015-06-05,6055492,View example
x,14566,Appellate Divisions of the Superior Court,9003,Cal. App. Dep't Super. Ct.,,12,Cal.,,1953-10-22,1994-06-21,2194552,View example
x,14549,Appellate Divisions of the Superior Court of the State of California,9003,Cal. App. Dep't Super. Ct.,,12,Cal.,,1938-10-20,2015-10-01,2162851,View example
x,19143,Arapahoe County Court,19138,Arapahoe Cty. Ct.,,4,Colo.,,1900-04-13,1902-08-08,2327834,View example
x,19138,Arapahoe County District Court,,Arapahoe Cty. Dist. Ct.,,21,Colo.,,1880-10-13,1902-06-02,2327830,View example
x,22934,Arapahoe District Court,19138,Arapahoe Dist. Ct.,,2,Colo.,,1881-02,1882-08,12122864,View example
x,10926,Arcadia Justice Court,,Arcadia J. Ct.,,7,N.Y.,,1989-06-20,1994-01-28,879982,View example
x,17286,Area One County Court,,Area One Cty. Ct.,,1,Ohio,,1968-02-26,1968-02-26,1436837,View example
x,8807,Arizona Court of Appeals,,Ariz. Ct. App.,,14856,Ariz.,,1965-02-02,2017-07-13,57559,View example
x,9214,Arizona Supreme Court,,Ariz.,,13262,Ariz.,,1817-02-26,2017-08-17,57553,View example
x,9819,Arizona Tax Court,,Ariz. Tax Ct.,,64,Ariz.,,1989-02-03,2010-05-04,152669,View example
x,9036,Arkansas Circuit Court,,Ark. Cir. Ct.,,57,Ark.,,1839-04,1855-04,236497,View example
x,13370,Arkansas Court of Appeals,,Ark. Ct. App.,,8506,Ark.,,1979-10-31,2017-12-13,1709148,View example
x,8956,Arkansas District Court,,Ark. Dist. Ct.,,13,Ark.,,1836-11,1849-04,236527,View example
x,17308,Arkansas Superior Court,,Ark. Super. Ct.,,38,Ark.,,1822-04,1836-02,6095486,View example
x,20195,Arkansas Superior Court,17308,Arkansas Super. Ct.,,1,U.S.,,1831-01,1831-01,6636145,View example
x,8808,Arkansas Supreme Court,,Ark.,,50866,Ark.,,1837-01,2018-02-08,36020,View example
x,21973,Arkansas Supreme Court,8808,Tex. App.,,1,Tex.,Ark.,2010-11-04,2010-11-04,7136140,View example
x,15582,Arlington County Circuit Court,,Arlington Cty. Cir. Ct.,,207,Va.,,1969-08-20,2011-11-28,3778890,View example
x,20779,Arlington County Circuit Court,15582,Arlington Cir. Ct.,,1,Va.,,2004-05-14,2004-05-14,3789657,View example
x,9162,Armstrong County Court of Common Pleas,,Armstrong Cty. C.P.,,102,Pa.,,1873-11-10,2009-10-06,29889,View example
x,16885,Armstrong County Court of Common Pleas,9162,Armstrong Cty. Ct. C.P.,,1,Pa.,,1968-08-23,1968-08-23,1704284,View example
x,15030,Armstrong County Court of Quarter Sessions,9169,Armstrong Cty. Ct. of Quarter Sess.,,2,Pa.,,1892-01-04,1892-01-04,827913,View example
x,9169,Armstrong County Court of Quarter Sessions,,Armstrong Cty. Ct. Quarter Sess.,,2,Pa.,,1882-12-06,1922-11-22,220760,View example
x,12389,Armstrong County Orphans' Court,,Armstrong Cty. Orphans' Ct.,,3,Pa.,,1892-01-04,1961-01-28,827944,View example
x,10110,Ashland Circuit Court,,Ashland Cir. Ct.,,7,Ohio,,1885-10,1913-06,638296,View example
x,9594,Ashland County Circuit Court,,Ashland Cty. Cir. Ct.,,4,Ohio,,1908-10,1913-06,397211,View example
x,12382,Ashland County Court of Common Pleas,,Ashland Cty. C.P.,,12,Ohio,,1900,1997-03-10,1545847,View example
x,12377,Ashland County Court of Common Pleas,12382,Ohio C.P.,,2,Ohio,,1904-05,1909-07-20,1533477,View example
x,18955,Ashland County Court of Common Pleas,12382,Ashland County C.P.,,1,Ohio,,1929-12-02,1929-12-02,1634827,View example
x,18858,Ashland Court of Common Pleas,12382,Ashland C.P.,,1,Ohio,,1925-11-19,1925-11-19,1639296,View example
x,21377,Ashland Municipal Court,,Ashland Mun. Ct.,,2,Ohio,,1994-10-20,1999-12-06,6711871,View example
x,9399,Ashtabula Circuit Court,,Ashtabula Cir. Ct.,,26,Ohio,,1888-02,1912-01,421705,View example
x,21646,Ashtabula Circuit Court,9399,Ashtabula Cty. Cir. Ct.,,1,Ohio,,1901-03-23,1901-03-23,636325,View example
x,9491,Ashtabula County Circuit Court,,Ashtabula Cty. Cir. Ct.,,17,Ohio,,1893-11,1913-01,392838,View example
x,19974,Ashtabula County Court,,Ashtabula Cty. Ct.,,9,Ohio,,1983-06-14,2001-07-03,6219785,View example
x,10982,Ashtabula County Court of Common Pleas,,Ashtabula Cty. C.P.,,33,Ohio,,1894-11,1995-09-13,888045,View example
x,10837,Ashtabula County Court of Common Pleas,10982,Ohio C.P.,,3,Ohio,,1907-01-17,1907-11,889466,View example
x,13569,Ashtabula County Court of Probate Court,13538,Ashtabula Cty. Prob. Ct.,,1,Ohio,,1959-11-04,1959-11-04,1804777,View example
x,13538,Ashtabula County Probate Court,,Ashtabula Cty. Prob. Ct.,,4,Ohio,,1952-08-04,1959-09-17,1768294,View example
x,13471,Ashtabula Municipal Court,,Ashtabula Mun. Ct.,,9,Ohio,,1950-07-07,1986-04-01,1755813,View example
x,13516,Ashtabula Municipal Court,13471,Ashtabula Cty. Mun. Ct.,,1,Ohio,,1958-09-09,1958-09-09,1793872,View example
x,17920,Athens Circuit Court,,Athens Cir. Ct.,,1,Ohio,,1896-09,1896-09,1625983,View example
x,9236,Athens County Court of Common Pleas,,Athens Cty. C.P.,,15,Ohio,,1894-10,2000-03-28,305229,View example
x,18712,Athens County Court of Common Pleas,9236,Athens Cty. C.P. Ct.,,1,Ohio,,1940,1940,1698753,View example
x,12887,Athens County Court of Common Pleas,9236,Ohio C.P.,,1,Ohio,,1909-09-08,1909-09-08,1540533,View example
x,20136,Athens County Municipal Court,,Athens Cty. Mun. Ct.,,8,Ohio,,1973-08-24,2012-02-16,6686590,View example
x,9842,Atlantic County Circuit Court,,Atlantic Cty. Cir. Ct.,,27,N.J.,,1931-08-24,1947-08-25,433442,View example
x,15776,Atlantic County Circuit Court,15776,Atlantic Cty. Ct.,,1,N.J.,,1943-11-18,1943-11-18,458069,View example
x,9510,Atlantic County Court,,Atlantic Cty. Ct.,,13,N.J.,,1946-12-06,1978-06-30,318534,View example
x,9954,Atlantic County Court of Common Pleas,,Atlantic Cty. Ct. C.P.,,2,N.J.,,1924,1937-12-12,439475,View example
x,15770,Atlantic County Court of Oyer and Terminer,,Atlantic Cty. Ct. of Oyer & Terminer,,1,N.J.,,1948,1948,436477,View example
x,15222,Atlantic County District Court,,Atlantic Cty. Dist. Ct.,,3,N.J.,,1975-11-19,1980-01-17,288003,View example
x,15208,Atlantic County Orphans Court,9850,Atlantic Cty. Orphans Ct.,,1,N.J.,,1936-10-29,1936-10-29,578670,View example
x,9850,Atlantic County Orphans' Court,,Atlantic Cty. Orphans' Ct.,,2,N.J.,,1939-05-31,1946-06-28,431853,View example
x,9255,Auburn City Court,,Auburn City Ct.,,16,N.Y.,,1990-03-12,2015-08-17,37489,View example
x,22364,Auglaize Circuit Court,,Auglaize Cir. Ct.,,5,Ohio,,1897-04,1904-04-23,8817007,View example
x,9505,Auglaize County Circuit Court,,Auglaize Cty. Cir. Ct.,,4,Ohio,,1900-04,1904-04-23,417627,View example
x,9262,Auglaize County Court of Common Pleas,,Auglaize Cty. C.P.,,10,Ohio,,1903,1989-07-14,305254,View example
x,12928,Auglaize County Court of Common Pleas,9262,Ohio C.P.,,1,Ohio,,1905-01-23,1905-01-23,1533540,View example
x,21533,Auglaize County Municipal Court,,Auglaize Cty. Mun. Ct.,,1,Ohio,,1994-05-09,1994-05-09,6713945,View example
x,18970,Auglaize County Probate Court,18988,Auglaize County Prob. Ct.,,1,Ohio,,1905-01-21,1905-01-21,1535685,View example
x,18988,Auglaize County Probate Court,,Auglaize Cty. Prob. Ct.,,1,Ohio,,1930-10-17,1930-10-17,1566274,View example
x,15326,Augusta County Circuit Court,,Augusta Cty. Cir. Ct.,,53,Va.,,1974-03-27,2016-06-06,3785266,View example
x,19867,Aurora Justice Court,,Aurora J. Ct.,,1,N.Y.,,1969-02-06,1969-02-06,1203557,View example
x,18590,Avon Lake Municipal Court,,Avon Lake Mun. Ct.,,3,Ohio,,1960,1999-04-14,1806600,View example
x,15930,Baker County Circuit Court,,Baker Cty. Cir. Ct.,,4,Or.,,1870-10,1871-05,2292547,View example
x,20229,Baldwin,,N.Y. App. Div.,,1,N.Y.,,1934-09,1934-09,5824702,View example
x,15013,Ballard Circuit Court,,Ballard Cir. Ct.,,3,Ky.,,1926-02-19,1926-03-26,4903085,View example
x,14258,Baltimore City Circuit Court,,Balt. City Cir. Ct.,,719,Md.,,1888-08-25,1994-01-15,2003393,View example
x,14257,Baltimore City Court,,Balt. City Ct.,,200,Md.,,1888-10-13,1928-12-18,2003400,View example
x,14259,Baltimore City Court of Common Pleas,,Balt. City C.P.,,60,Md.,,1889-09-20,1916-01-06,2003440,View example
x,16480,Baltimore City Court of Common Pleas,14259,Balt. Ct. Com. Pl.,,25,Md.,,1921-01-28,1928-10-03,2009848,View example
x,14263,Baltimore City Criminal Court,,Balt. City Crim. Ct.,,52,Md.,,1893-12-20,1928-06-11,2003425,View example
x,14260,Baltimore City Orphans' Court,,Balt. City Orphans' Ct.,,63,Md.,,1805-01-03,1994-01-17,2003399,View example
x,14261,Baltimore City Superior Court,,Balt. City Super. Ct.,,163,Md.,,1888-10-20,1928-12-26,2003416,View example
x,11704,Bankruptcy Appellate Panel for the Eight Circuit,Bankruptcy Appellate Panel for the Eighth Circuit,8th Cir. Bankr. App. Panel,,1,U.S.,,1998-02-19,1998-02-19,1213628,View example
x,20905,Bankruptcy Appellate Panel for the Eighth Circuit,,B.A.P. 8th Cir.,8th Cir. Bankr. App. Panel,2,U.S.,,2012-04-05,2012-04-09,5729380,View example
x,9637,Bankruptcy Appellate Panel for the First Circuit,,1st Cir. Bankr. App. Panel,,7,U.S.,,1997-05-13,1998-02-04,168240,View example
x,9632,Bankruptcy Appellate Panel for the Ninth Circuit,,9th Cir. Bankr. App. Panel,,13,U.S.,,1997-03-14,2016-04-12,377544,View example
x,20907,Bankruptcy Appellate Panel for the Ninth Circuit,,B.A.P. 9th Cir.,9th Cir. Bankr. App. Panel,2,U.S.,,2012-04-05,2012-04-30,5730034,View example
x,11640,Bankruptcy Appellate Panel for the Second Circuit,,2nd Cir. Bankr. App. Panel,,1,U.S.,,1997-12-12,1997-12-12,1213674,View example
x,11644,Bankruptcy Appellate Panel for the Six Circuit,,6th Cir. Bankr. App. Panel,,1,U.S.,,1998-02-11,1998-02-11,1213617,View example
x,11303,Bankruptcy Appellate Panel for the Tenth Circuit,,10th Cir. Bankr. App. Panel,,2,U.S.,,1997-12-03,2013-02-04,1213638,View example
x,18889,Barberton Municipal Court,,Barberton Mun. Ct.,,2,Ohio,,1955-11-18,1971-06-22,1783815,View example
x,17066,Barnstable Superior Court,,Barnstable Super. Ct.,,1,Mass.,,2017-01-24,2017-01-24,6063819,View example
x,15009,Barren Circuit Court,,Barren Cir. Ct.,,1,Ky.,,1926-03-12,1926-03-12,4901655,View example
x,11865,Batavia City Court,,Batavia City Ct.,,6,N.Y.,,1972-05-23,1983-02-07,802528,View example
